Date,Open,High,Low,Close,Adj Close,Volume,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,Smoothed,fourier_short,fourier_medium,fourier_long
2023-10-04,304.8500061035156,309.0599975585937,303.4800109863281,308.6000061035156,308.6000061035156,1872000,,,308.6000061035156,308.6000061035156,0.0,,,,308.6000061035156,,0.0,5.904580925982202,61.66424487092979,100.46377538070718
2023-10-05,307.3599853515625,310.54998779296875,304.2099914550781,310.5,310.5,1584600,,,309.5865413959209,309.62916946411127,0.042628068190367685,,,,310.02500152587885,,0.0,-4.903298754929409,-23.762131500907714,66.25735795954012
2023-10-06,308.1099853515625,315.32000732421875,307.1700134277344,312.4800109863281,312.4800109863281,1595100,,,310.6261369264319,310.74185356862546,0.11571664219354716,,,,311.724623460036,,0.0,-5.034279001874211,-22.015245208113555,68.64194803394065
2023-10-09,308.8999938964844,313.4800109863281,308.3699951171875,312.6099853515625,312.6099853515625,1094400,,,311.1807342527563,311.33154976504966,0.1508155122933772,,,,312.3222427368164,,0.0,7.484281366606382,67.02747822759304,107.3253976430199
2023-10-10,314.4700012207031,316.8500061035156,312.2900085449219,314.7699890136719,314.7699890136719,1193800,,,312.01309723604896,312.2657614199987,0.2526641839497188,,,,313.9608166907445,,311.7919982910156,313.3944177893822,246.42423567916586,170.2257983913431
2023-10-11,315.42999267578125,316.6300048828125,311.6000061035156,313.0199890136719,313.0199890136719,1672500,,,312.2147696284261,312.4490784050275,0.23430877660138094,,,,313.3327366755559,,312.6759948730469,305.4677949175341,315.42208278022775,238.3988198229025
2023-10-12,314.1499938964844,314.25,308.0199890136719,309.8500061035156,309.8500061035156,1727700,311.6899980817522,,311.7942086941299,311.8691045144052,0.0748958202752874,,,,311.0098541622738,,312.54599609375,312.61436230585855,342.87293624820904,293.6370289923738
2023-10-13,312.0,316.17999267578125,308.1700134277344,309.29998779296875,309.29998779296875,1785200,311.7899954659598,,311.3923279043348,311.3329694527101,-0.05935845162474607,,,,309.86976948249634,,311.9099914550781,319.9270439368898,323.5019543073705,325.33795596675134
2023-10-16,313.17999267578125,315.8999938964844,310.25,314.3900146484375,314.3900146484375,2273900,312.345711844308,,311.83665088783914,311.9377618017554,0.1011109139162727,,,,312.8834193690668,,312.2659973144531,308.58074213229895,273.528363471407,333.62644365511494
2023-10-17,313.3800048828125,316.17999267578125,305.9100036621094,309.3599853515625,309.3599853515625,4123000,311.8999938964844,,311.4948951484456,311.44927416628224,-0.04562098216337063,,,,310.53442357694723,,311.1839965820312,305.2794156560491,317.7158956527504,327.4920697563499
2023-10-18,307.0,307.2200012207031,301.4800109863281,301.9599914550781,301.9599914550781,3460300,310.3785661969866,,310.258215118754,309.71296423289874,-0.5452508858552392,,,,304.8181032269055,-6.6400146484375,308.9719970703125,313.875295825242,317.80683854966446,319.0307704400552
2023-10-19,301.9599914550781,305.3399963378906,298.6300048828125,299.19000244140625,299.19000244140625,3211800,308.1528538295201,,308.8983107960278,307.84201617177723,-1.0562946242505404,,,,301.066028976383,-11.30999755859375,306.8399963378906,311.8742753397649,316.1121405974075,316.67227453592335
2023-10-20,298.5,303.25,298.1000061035156,300.04998779296875,300.04998779296875,2328700,306.2999965122768,,307.8617313522229,306.4890240300863,-1.3727073221365913,,,,300.3886677625819,-12.430023193359375,304.9899963378906,297.5057149712843,312.4848078131528,320.69652025257005
2023-10-23,298.2900085449219,303.54998779296875,298.19000244140625,299.2200012207031,299.2200012207031,2959800,304.7814243861607,,306.8911622152406,305.25134153252117,-1.63982068271946,,,,299.60955657176993,-13.389984130859375,301.95599365234375,300.3535741539772,263.8998327518055,323.2020106993596
2023-10-24,300.0,303.1000061035156,299.0799865722656,299.17999267578125,299.17999267578125,1697100,303.33571079799106,,306.05700255948176,304.234286661152,-1.8227158983297613,,,,299.3231806211528,-15.589996337890625,299.9199951171875,307.12819507270035,309.9018729883343,312.52893293659554
2023-10-25,298.6000061035156,300.0,295.0299987792969,296.760009765625,296.760009765625,1809300,300.817138671875,,305.0844607402716,302.9991034728197,-2.0853572674519114,,,,297.614400011105,-16.259979248046875,298.8799987792969,298.81163256718844,327.8292864386671,279.9798572262813
2023-10-26,296.9599914550781,300.1400146484375,294.7799987792969,296.989990234375,296.989990234375,2011200,299.0499965122768,,304.26280129597114,302.01725472449607,-2.2455465714750744,,,,297.1981268233949,-12.860015869140625,298.43999633789065,290.422943856079,301.7239194642036,225.54075579425276
2023-10-27,297.54998779296875,298.2699890136719,289.3599853515625,289.9100036621094,289.9100036621094,2599700,297.3285696847098,,302.8447701944609,300.05771915037155,-2.7870510440893668,,,,292.3393780366633,-19.389984130859375,296.41199951171876,300.09725469387297,236.64543462203926,159.72623026682524
